WorldCup,RK,Team,PTS
1994,1,GermanyGER,60.0
1994,2,NetherlandsNED,59.0
1994,3,BrazilBRA,59.0
1994,4,ItalyITA,57.0
1994,5,SpainESP,56.0
1994,6,NorwayNOR,56.0
1994,7,RomaniaROU,55.0
1994,8,ArgentinaARG,55.0
1994,9,DenmarkDEN,55.0
1994,10,SwedenSWE,55.0
1994,11,NigeriaNGA,54.0
1994,12,SwitzerlandSUI,54.0
1994,13,FranceFRA,53.0
1994,14,Republic of IrelandIRL,53.0
1994,15,EnglandENG,52.0
1994,16,MexicoMEX,51.0
1994,17,ColombiaCOL,51.0
1994,18,UruguayURU,50.0
1994,19,RussiaRUS,50.0
1994,20,ZambiaZAM,49.0
1994,21,Côte d'IvoireCIV,47.0
1994,22,PortugalPOR,47.0
1994,23,USAUSA,47.0
1994,24,CameroonCMR,46.0
1994,25,EgyptEGY,45.0
1994,26,GhanaGHA,44.0
1994,27,BelgiumBEL,44.0
1994,28,MoroccoMAR,44.0
1994,29,BulgariaBUL,44.0
1994,30,TunisiaTUN,42.0
1994,31,GreeceGRE,41.0
1994,32,PolandPOL,41.0
1994,33,ScotlandSCO,40.0
1994,34,Saudi ArabiaKSA,40.0
1994,35,WalesWAL,39.0
1994,36,AustriaAUT,38.0
1994,37,Korea RepublicKOR,38.0
1994,38,IcelandISL,38.0
1994,39,EcuadorECU,37.0
1994,40,ChileCHI,37.0
1994,41,Northern IrelandNIR,37.0
1994,42,ZimbabweZIM,35.0
1994,43,BoliviaBOL,35.0
1994,44,SlovakiaSVK,35.0
1994,45,Czech RepublicCZE,35.0
1994,46,FinlandFIN,35.0
1994,47,AustraliaAUS,34.0
1994,48,AlgeriaALG,34.0
1994,49,MaliMLI,34.0
1994,50,HondurasHON,34.0
1994,51,Costa RicaCRC,34.0
1994,52,JapanJPN,33.0
1994,53,IsraelISR,32.0
1994,54,CanadaCAN,31.0
1994,55,SenegalSEN,31.0
1994,56,HungaryHUN,31.0
1994,57,TurkeyTUR,31.0
1994,58,IR IranIRN,30.0
1994,59,China PRCHN,29.0
1994,60,ParaguayPAR,28.0
1994,61,GuineaGUI,26.0
1994,62,United Arab EmiratesUAE,26.0
1994,63,ZaireZAI,26.0
1994,64,GabonGAB,26.0
1994,65,IraqIRQ,26.0
1994,66,Sierra LeoneSLE,24.0
1994,67,PeruPER,24.0
1994,68,El SalvadorSLV,23.0
1994,69,QatarQAT,23.0
1994,70,JamaicaJAM,23.0
1994,71,Korea DPRPRK,23.0
1994,72,MaltaMLT,22.0
1994,73,CyprusCYP,22.0
1994,74,KuwaitKUW,22.0
1994,75,ThailandTHA,22.0
1994,76,South AfricaRSA,21.0
1994,77,OmanOMA,21.0
1994,78,YugoslaviaYUG,21.0
1994,79,SloveniaSVN,21.0
1994,80,MalawiMWI,21.0
1994,81,NigerNIG,21.0
1994,82,KenyaKEN,20.0
1994,83,UkraineUKR,20.0
1994,84,Trinidad and TobagoTRI,20.0
1994,85,LatviaLVA,19.0
1994,86,SyriaSYR,19.0
1994,87,SingaporeSGP,19.0
1994,88,LithuaniaLTU,19.0
1994,89,BermudaBER,17.0
1994,90,New ZealandNZL,17.0
1994,91,CroatiaCRO,17.0
1994,92,BahrainBHR,15.0
1994,93,SurinameSUR,15.0
1994,94,VenezuelaVEN,15.0
1994,95,MalaysiaMAS,15.0
1994,96,JordanJOR,15.0
1994,97,FijiFIJ,14.0
1994,98,BarbadosBRB,14.0
1994,99,TanzaniaTAN,14.0
1994,100,EswatiniSWZ,13.0
1994,101,UgandaUGA,13.0
1994,102,Burkina FasoBFA,13.0
1994,103,YemenYEM,13.0
1994,104,AlbaniaALB,13.0
1994,105,IndiaIND,13.0
1994,106,MadagascarMAD,13.0
1994,107,Puerto RicoPUR,12.0
