,WorldCup,RK,code,Team,PTS
0,1994,1,GER,Germany,60.0
1,1994,2,NED,Netherlands,59.0
2,1994,3,BRA,Brazil,59.0
3,1994,4,ITA,Italy,57.0
4,1994,5,ESP,Spain,56.0
5,1994,6,NOR,Norway,56.0
6,1994,7,ROU,Romania,55.0
7,1994,8,ARG,Argentina,55.0
8,1994,9,DEN,Denmark,55.0
9,1994,10,SWE,Sweden,55.0
10,1994,11,NGA,Nigeria,54.0
11,1994,12,SUI,Switzerland,54.0
12,1994,13,FRA,France,53.0
13,1994,14,IRL,Republic of Ireland,53.0
14,1994,15,ENG,England,52.0
15,1994,16,MEX,Mexico,51.0
16,1994,17,COL,Colombia,51.0
17,1994,18,URU,Uruguay,50.0
18,1994,19,RUS,Russia,50.0
19,1994,20,ZAM,Zambia,49.0
20,1994,21,CIV,Côte d'Ivoire,47.0
21,1994,22,POR,Portugal,47.0
22,1994,23,USA,USA,47.0
23,1994,24,CMR,Cameroon,46.0
24,1994,25,EGY,Egypt,45.0
25,1994,26,GHA,Ghana,44.0
26,1994,27,BEL,Belgium,44.0
27,1994,28,MAR,Morocco,44.0
28,1994,29,BUL,Bulgaria,44.0
29,1994,30,TUN,Tunisia,42.0
30,1994,31,GRE,Greece,41.0
31,1994,32,POL,Poland,41.0
32,1994,33,SCO,Scotland,40.0
33,1994,34,KSA,Saudi Arabia,40.0
34,1994,35,WAL,Wales,39.0
35,1994,36,AUT,Austria,38.0
36,1994,37,KOR,Korea Republic,38.0
37,1994,38,ISL,Iceland,38.0
38,1994,39,ECU,Ecuador,37.0
39,1994,40,CHI,Chile,37.0
40,1994,41,NIR,Northern Ireland,37.0
41,1994,42,ZIM,Zimbabwe,35.0
42,1994,43,BOL,Bolivia,35.0
43,1994,44,SVK,Slovakia,35.0
44,1994,45,CZE,Czech Republic,35.0
45,1994,46,FIN,Finland,35.0
46,1994,47,AUS,Australia,34.0
47,1994,48,ALG,Algeria,34.0
48,1994,49,MLI,Mali,34.0
49,1994,50,HON,Honduras,34.0
50,1994,51,CRC,Costa Rica,34.0
51,1994,52,JPN,Japan,33.0
52,1994,53,ISR,Israel,32.0
53,1994,54,CAN,Canada,31.0
54,1994,55,SEN,Senegal,31.0
55,1994,56,HUN,Hungary,31.0
56,1994,57,TUR,Turkey,31.0
57,1994,58,IRN,IR Iran,30.0
58,1994,59,CHN,China PR,29.0
59,1994,60,PAR,Paraguay,28.0
60,1994,61,GUI,Guinea,26.0
61,1994,62,UAE,United Arab Emirates,26.0
62,1994,63,ZAI,Zaire,26.0
63,1994,64,GAB,Gabon,26.0
64,1994,65,IRQ,Iraq,26.0
65,1994,66,SLE,Sierra Leone,24.0
66,1994,67,PER,Peru,24.0
67,1994,68,SLV,El Salvador,23.0
68,1994,69,QAT,Qatar,23.0
69,1994,70,JAM,Jamaica,23.0
70,1994,71,PRK,Korea DPR,23.0
71,1994,72,MLT,Malta,22.0
72,1994,73,CYP,Cyprus,22.0
73,1994,74,KUW,Kuwait,22.0
74,1994,75,THA,Thailand,22.0
75,1994,76,RSA,South Africa,21.0
76,1994,77,OMA,Oman,21.0
77,1994,78,YUG,Yugoslavia,21.0
78,1994,79,SVN,Slovenia,21.0
79,1994,80,MWI,Malawi,21.0
80,1994,81,NIG,Niger,21.0
81,1994,82,KEN,Kenya,20.0
82,1994,83,UKR,Ukraine,20.0
83,1994,84,TRI,Trinidad and Tobago,20.0
84,1994,85,LVA,Latvia,19.0
85,1994,86,SYR,Syria,19.0
86,1994,87,SGP,Singapore,19.0
87,1994,88,LTU,Lithuania,19.0
88,1994,89,BER,Bermuda,17.0
89,1994,90,NZL,New Zealand,17.0
90,1994,91,CRO,Croatia,17.0
91,1994,92,BHR,Bahrain,15.0
92,1994,93,SUR,Suriname,15.0
93,1994,94,VEN,Venezuela,15.0
94,1994,95,MAS,Malaysia,15.0
95,1994,96,JOR,Jordan,15.0
96,1994,97,FIJ,Fiji,14.0
97,1994,98,BRB,Barbados,14.0
98,1994,99,TAN,Tanzania,14.0
99,1994,100,SWZ,Eswatini,13.0
100,1994,101,UGA,Uganda,13.0
101,1994,102,BFA,Burkina Faso,13.0
102,1994,103,YEM,Yemen,13.0
103,1994,104,ALB,Albania,13.0
104,1994,105,IND,India,13.0
105,1994,106,MAD,Madagascar,13.0
106,1994,107,PUR,Puerto Rico,12.0
107,1994,108,MOZ,Mozambique,12.0
108,1994,109,HKG,Hong Kong,12.0
109,1994,110,GAM,Gambia,12.0
110,1994,111,BDI,Burundi,12.0
111,1994,112,EST,Estonia,12.0
112,1994,113,CGO,Congo,11.0
113,1994,114,ETH,Ethiopia,11.0
114,1994,115,MYA,Myanmar,10.0
115,1994,116,GNB,Guinea-Bissau,10.0
116,1994,117,LUX,Luxembourg,10.0
117,1994,118,MKD,FYR Macedonia,10.0
118,1994,119,LBN,Lebanon,10.0
119,1994,120,IDN,Indonesia,9.0
120,1994,121,ATG,Antigua and Barbuda,9.0
121,1994,122,HAI,Haiti,9.0
122,1994,123,TOG,Togo,9.0
123,1994,124,ANG,Angola,9.0
124,1994,125,FRO,Faroe Islands,8.0
125,1994,126,GEO,Georgia,8.0
126,1994,127,SRI,Sri Lanka,8.0
127,1994,128,NEP,Nepal,8.0
128,1994,129,SDN,Sudan,8.0
129,1994,130,BAN,Bangladesh,8.0
130,1994,131,PAN,Panama,7.0
131,1994,132,SMR,San Marino,7.0
132,1994,133,GRN,Grenada,7.0
133,1994,134,GUA,Guatemala,7.0
134,1994,135,VIN,St. Vincent and the Grenadines,7.0
135,1994,136,LBR,Liberia,6.0
136,1994,138,BEN,Benin,6.0
137,1994,139,MRI,Mauritius,5.0
138,1994,140,TAH,Tahiti,5.0
